label,text
ham,"Hi, how are you doing today? Hope everything is fine."
ham,"Hey, tomorrow's meeting is scheduled at 10 AM. Please be on time."
ham,"Can you send me the report by end of day? Thanks."
ham,"Happy birthday! Wishing you a wonderful day."
ham,"The assignment deadline is extended to Friday. Please check the portal."
ham,"Let's catch up over coffee this weekend. What do you think?"
ham,"Your package has been dispatched and will arrive in 2-3 days."
ham,"Please review the attached document and share your feedback."
ham,"I will be out of office from Monday. Contact John for urgent matters."
ham,"Class is cancelled tomorrow due to the faculty meeting."
ham,"Your appointment is confirmed for 3 PM on Wednesday."
ham,"Thanks for submitting your project. We will review and get back to you."
ham,"Team lunch is planned for Thursday at 1 PM. Join us!"
ham,"The library books you borrowed are due next week."
ham,"Your login credentials have been updated as requested."
ham,"Please complete the survey before the end of this month."
ham,"Reminder: Submit your attendance report by Friday."
ham,"The server maintenance is scheduled for Sunday 2 AM to 4 AM."
ham,"Your subscription has been renewed successfully."
ham,"Good morning! Don't forget we have a standup at 9 AM."
spam,"Congratulations! You have won a $1000 gift card. Click here to claim now!"
spam,"URGENT: Your bank account has been suspended. Verify immediately at this link."
spam,"FREE iPhone 15 Pro! You are the lucky winner. Claim your prize now!"
spam,"Make $5000 per week from home! No experience needed. Join now!"
spam,"Your PayPal account has been limited. Please update your information."
spam,"HOT SINGLES in your area! Click here to meet them tonight."
spam,"You have been selected for a special loan offer. Apply now, no credit check!"
spam,"WINNER! You have been selected to receive a $500 Amazon voucher."
spam,"Lose 30 pounds in 30 days with this miracle pill! Order now!"
spam,"Your email won a lottery of $2,000,000. Send your details to claim."
spam,"Cheap Rolex watches! Buy 2 get 1 FREE. Limited time offer!"
spam,"Increase your credit score overnight. Click here for our secret method."
spam,"Meet beautiful Russian ladies! Sign up for FREE today!"
spam,"Earn passive income daily! Our system works 24/7 for you."
spam,"WARNING: Virus detected on your computer. Download our free scanner NOW!"
spam,"Exclusive offer! Get 90% discount on all luxury brands. Shop now!"
spam,"Your account will be closed in 24 hours. Click here to verify."
spam,"Work from home and earn $200/day. No skills required!"
spam,"You qualify for a $10,000 government grant. Apply before midnight!"
spam,"FREE trial of our premium service! No credit card required. Sign up now!"
ham,"Your order #12345 has been confirmed. Expected delivery: 3-5 business days."
ham,"Reminder: Board meeting on Tuesday at 2 PM in Conference Room B."
ham,"The new Python textbook is now available at the campus bookstore."
ham,"Your scholarship application has been received and is under review."
ham,"Please find attached the invoice for your recent purchase."
spam,"Congratulations! You are our 1,000,000th visitor. Claim your MacBook Pro now!"
spam,"SPECIAL OFFER: Enlarge your assets with our medically proven supplement!"
spam,"Your Netflix account will be cancelled. Update payment info immediately!"
spam,"BITCOIN ALERT: Invest now and triple your money in 7 days guaranteed!"
spam,"Dear friend, I need your help to transfer $5 million. You will get 30%."
